time,frequency,confidence
0.00,147.596,0.073070
0.01,150.764,0.192805
0.02,149.280,0.692100
0.03,150.363,0.888773
0.04,150.577,0.939599
0.05,150.246,0.932722
0.06,149.578,0.935699
0.07,148.812,0.940051
0.08,148.493,0.932491
0.09,148.208,0.948692
0.10,147.997,0.960791
0.11,147.643,0.967337
0.12,147.133,0.971782
0.13,146.528,0.949658
0.14,145.743,0.953659
0.15,144.400,0.893016
0.16,142.378,0.909128
0.17,140.699,0.923962
0.18,139.258,0.942743
0.19,138.512,0.945167
0.20,138.009,0.929886
0.21,138.217,0.928977
0.22,138.277,0.933807
0.23,138.290,0.939089
0.24,138.042,0.918375
0.25,137.607,0.928082
0.26,137.151,0.905894
0.27,137.180,0.905285
0.28,137.258,0.915664
0.29,137.293,0.902394
0.30,136.302,0.860513
0.31,134.484,0.907671
0.32,133.436,0.923737
0.33,133.073,0.953341
0.34,133.099,0.950725
0.35,133.308,0.950610
0.36,133.335,0.950058
0.37,132.848,0.942190
0.38,132.287,0.900207
0.39,131.738,0.842824
0.40,131.203,0.495934
0.41,138.376,0.169636
0.42,251.460,0.012829
0.43,32.030,0.010758
0.44,1836.918,0.030270
0.45,1737.618,0.033824
0.46,32.574,0.018471
0.47,644.362,0.075648
0.48,646.241,0.075177
0.49,656.242,0.120674
0.50,585.236,0.070000
0.51,575.805,0.030204
0.52,570.990,0.091473
0.53,559.512,0.154471
0.54,553.563,0.180010
0.55,547.996,0.286187
0.56,545.945,0.124861
0.57,223.855,0.150465
0.58,149.684,0.270156
0.59,149.701,0.785459
0.60,150.174,0.881749
0.61,149.301,0.938935
0.62,148.403,0.933003
0.63,148.156,0.960060
0.64,148.454,0.941701
0.65,148.486,0.943208
0.66,148.276,0.935545
0.67,147.503,0.901850
0.68,147.037,0.820083
0.69,146.830,0.795589
0.70,145.174,0.790320
0.71,144.000,0.907625
0.72,143.048,0.895683
0.73,141.383,0.899874
0.74,139.930,0.907778
0.75,138.324,0.927682
0.76,136.652,0.872805
0.77,135.361,0.908572
0.78,136.086,0.829535
0.79,139.569,0.658859
0.80,47.860,0.529399
0.81,47.697,0.577197
0.82,47.677,0.194905
0.83,35.152,0.579770
0.84,34.885,0.329561
0.85,34.778,0.279713
0.86,46.825,0.390092
0.87,134.874,0.532090
0.88,134.519,0.934516
0.89,135.129,0.923048
