time,frequency,confidence
0.00,340.938,0.160493
0.01,259.258,0.326208
0.02,257.801,0.280608
0.03,253.118,0.390136
0.04,245.325,0.248543
0.05,249.704,0.124485
0.06,249.282,0.044760
0.07,331.665,0.079810
0.08,256.931,0.183788
0.09,257.723,0.394287
0.10,255.231,0.288131
0.11,250.598,0.257745
0.12,247.118,0.172108
0.13,255.102,0.536974
0.14,254.475,0.388158
0.15,256.656,0.450423
0.16,256.033,0.161891
0.17,357.070,0.127271
0.18,347.084,0.111423
0.19,341.543,0.168217
0.20,331.123,0.186093
0.21,245.979,0.240614
0.22,249.802,0.343163
0.23,125.214,0.294466
0.24,254.164,0.570356
0.25,253.697,0.516357
0.26,177.250,0.415039
0.27,178.241,0.582190
0.28,178.972,0.375800
0.29,183.363,0.180931
0.30,182.345,0.283671
0.31,178.415,0.475657
0.32,176.233,0.331743
0.33,171.072,0.206740
0.34,166.376,0.201478
0.35,161.346,0.128134
0.36,332.774,0.135524
0.37,255.823,0.357865
0.38,257.400,0.413353
0.39,255.900,0.572802
0.40,254.232,0.481171
0.41,252.767,0.307046
0.42,251.641,0.505547
0.43,177.064,0.468105
0.44,176.948,0.459448
0.45,175.027,0.454059
0.46,117.024,0.133874
0.47,185.357,0.264026
0.48,181.985,0.187896
0.49,174.631,0.330980
0.50,169.779,0.271022
0.51,97.398,0.175077
0.52,334.597,0.265258
0.53,332.708,0.334469
0.54,37.128,0.263481
0.55,36.938,0.275619
0.56,256.917,0.265206
0.57,178.092,0.055462
0.58,124.920,0.184978
0.59,124.135,0.101167
0.60,36.274,0.042677
0.61,321.828,0.075603
0.62,156.414,0.395106
0.63,174.975,0.349633
0.64,177.322,0.697307
0.65,181.464,0.440619
0.66,181.273,0.659985
0.67,180.495,0.405943
0.68,337.953,0.288784
0.69,333.894,0.182727
0.70,155.303,0.069519
0.71,154.752,0.167125
0.72,301.692,0.324874
0.73,298.500,0.403941
0.74,293.525,0.150291
0.75,281.458,0.078921
0.76,1118.286,0.028074
0.77,32.087,0.008033
0.78,222.080,0.125829
0.79,453.429,0.607634
0.80,460.058,0.713786
0.81,466.946,0.838729
0.82,470.048,0.853717
0.83,471.680,0.862196
0.84,472.039,0.861182
0.85,471.488,0.875740
0.86,470.588,0.920909
0.87,469.182,0.920850
0.88,469.160,0.936567
0.89,468.855,0.947955
0.90,468.365,0.953054
0.91,467.980,0.940125
0.92,467.121,0.905985
0.93,465.992,0.851560
0.94,465.723,0.805238
0.95,466.139,0.859141
0.96,466.274,0.859669
0.97,465.945,0.855566
0.98,465.376,0.862037
0.99,464.972,0.817879
1.00,462.975,0.811266
1.01,460.798,0.762446
1.02,459.059,0.669482
1.03,459.170,0.707709
1.04,459.590,0.714675
1.05,461.043,0.802834
1.06,462.018,0.808380
1.07,463.307,0.844631
1.08,462.585,0.840585
1.09,461.678,0.804430
1.10,459.451,0.682088
1.11,456.858,0.777816
1.12,456.153,0.730605
1.13,456.302,0.751930
1.14,458.002,0.783822
1.15,458.568,0.760712
1.16,457.548,0.708681
1.17,456.639,0.775088
1.18,455.557,0.795253
1.19,455.675,0.838973
1.20,453.956,0.777250
1.21,454.177,0.750630
1.22,454.593,0.688482
1.23,456.016,0.707924
1.24,456.585,0.637706
1.25,455.968,0.560488
1.26,454.506,0.574841
1.27,452.986,0.507626
1.28,453.401,0.548509
1.29,226.292,0.534372
1.30,452.832,0.575082
1.31,450.836,0.615211
1.32,447.206,0.669751
1.33,444.607,0.720355
1.34,442.706,0.864786
1.35,442.701,0.892418
1.36,442.227,0.879366
1.37,441.777,0.909361
1.38,442.098,0.900828
1.39,442.615,0.876675
1.40,442.673,0.892613
1.41,442.515,0.884369
1.42,443.851,0.877030
1.43,446.492,0.774950
1.44,455.773,0.633166
1.45,469.248,0.647852
1.46,487.596,0.712597
1.47,494.527,0.912147
1.48,498.358,0.910535
1.49,503.583,0.888788
1.50,505.706,0.780503
1.51,501.086,0.573992
1.52,495.207,0.510324
1.53,65.376,0.241166
1.54,64.651,0.193818
1.55,687.109,0.208714
1.56,686.755,0.280715
1.57,689.382,0.405597
1.58,690.281,0.561280
1.59,691.069,0.608244
1.60,690.979,0.629451
1.61,688.985,0.570624
1.62,685.093,0.659053
1.63,686.679,0.634140
1.64,688.455,0.591063
1.65,688.853,0.561007
1.66,685.272,0.454855
1.67,336.310,0.211297
1.68,672.388,0.472404
1.69,665.953,0.616651
1.70,665.321,0.801842
1.71,665.934,0.872934
1.72,666.304,0.898835
1.73,666.795,0.888655
1.74,665.854,0.864584
1.75,665.266,0.829530
1.76,659.628,0.780247
1.77,655.042,0.802971
1.78,653.988,0.836772
1.79,655.623,0.848450
1.80,654.680,0.876293
1.81,654.058,0.909123
1.82,653.160,0.878821
1.83,647.741,0.700633
1.84,631.299,0.558703
1.85,626.117,0.788036
1.86,625.776,0.700285
1.87,626.392,0.768423
1.88,625.729,0.703679
1.89,623.321,0.680435
1.90,620.507,0.721690
1.91,614.269,0.728138
1.92,610.152,0.587006
1.93,604.656,0.587414
1.94,600.997,0.674497
1.95,596.503,0.678312
1.96,591.248,0.870989
1.97,588.463,0.906632
1.98,586.029,0.885751
1.99,584.926,0.895345
2.00,581.921,0.787076
2.01,571.081,0.460382
2.02,555.534,0.282498
2.03,500.569,0.105721
2.04,493.809,0.367330
2.05,490.506,0.395114
2.06,472.162,0.351890
2.07,465.017,0.220175
2.08,459.397,0.116680
2.09,177.288,0.234650
2.10,245.419,0.198705
2.11,183.776,0.060266
2.12,123.951,0.216330
2.13,181.485,0.175277
2.14,180.931,0.371298
2.15,178.933,0.382131
2.16,257.817,0.311249
2.17,255.982,0.363387
2.18,254.272,0.483426
2.19,250.729,0.231223
2.20,250.554,0.279932
2.21,253.280,0.150226
2.22,323.267,0.108012
2.23,176.350,0.157756
2.24,176.858,0.098830
2.25,356.214,0.202012
2.26,249.902,0.297140
2.27,250.057,0.307121
2.28,249.743,0.395232
2.29,251.347,0.351476
2.30,251.193,0.253967
2.31,253.958,0.149449
2.32,254.113,0.267609
2.33,202.991,0.188958
2.34,82.544,0.108402
2.35,82.658,0.292030
2.36,82.960,0.108096
2.37,584.432,0.200005
2.38,546.232,0.016404
2.39,484.503,0.127283
2.40,488.885,0.556471
2.41,489.605,0.787263
2.42,489.919,0.867718
2.43,489.543,0.896127
2.44,488.952,0.899008
2.45,490.534,0.913074
2.46,492.259,0.932086
2.47,492.687,0.939491
2.48,493.111,0.948692
2.49,492.980,0.946176
2.50,492.619,0.932226
2.51,492.302,0.938225
2.52,492.164,0.943044
