time,frequency,confidence
0.00,573.513,0.103893
0.01,581.411,0.146305
0.02,584.272,0.162890
0.03,590.262,0.148360
0.04,590.198,0.128261
0.05,588.014,0.091631
0.06,662.895,0.012419
0.07,541.555,0.035286
0.08,551.178,0.125733
0.09,553.329,0.083931
0.10,552.525,0.032384
0.11,1089.676,0.010375
0.12,1951.516,0.010334
0.13,1957.758,0.014761
0.14,1956.888,0.020335
0.15,549.288,0.016163
0.16,550.889,0.014727
0.17,551.308,0.008255
0.18,549.869,0.004305
0.19,547.305,0.002797
0.20,1064.050,0.001637
0.21,1983.281,0.002615
0.22,1980.038,0.006390
0.23,1965.026,0.007021
0.24,1947.512,0.009128
0.25,1927.932,0.003200
0.26,1897.927,0.001131
0.27,1210.477,0.000414
0.28,1187.665,0.000730
0.29,1178.458,0.001764
0.30,1165.483,0.003069
0.31,1721.809,0.006818
0.32,1705.337,0.016945
0.33,1700.737,0.022009
0.34,1689.223,0.014312
0.35,1666.688,0.007586
0.36,1645.060,0.005633
0.37,1628.344,0.002490
0.38,587.132,0.009128
0.39,591.419,0.009173
0.40,1042.811,0.006825
0.41,1038.632,0.012839
0.42,1035.050,0.015480
0.43,1031.840,0.011634
0.44,1966.622,0.010293
0.45,1967.157,0.008638
0.46,984.096,0.006237
0.47,976.221,0.011596
0.48,966.765,0.009318
0.49,953.750,0.013011
0.50,946.039,0.034902
0.51,944.780,0.019313
0.52,1363.945,0.009680
0.53,1342.664,0.020003
0.54,1331.591,0.030601
0.55,1322.708,0.047372
0.56,1317.282,0.060019
0.57,1310.974,0.054856
0.58,1306.087,0.021384
0.59,352.808,0.007308
0.60,353.343,0.010707
0.61,352.791,0.002939
0.62,1219.364,0.002769
0.63,1206.855,0.002674
0.64,599.563,0.004776
0.65,599.167,0.008649
0.66,1195.179,0.006768
0.67,1188.727,0.007159
0.68,781.201,0.021593
0.69,773.044,0.086591
0.70,767.903,0.052766
0.71,755.883,0.027735
0.72,742.026,0.100218
0.73,733.390,0.063268
0.74,1044.600,0.072066
